time,AZUL4,GOLL4,spread,zScore,short,long,long_entry,long_exit,positions_long,short_entry,short_exit,positions_short,positions,hegde
2023-04-26 14:40:00,9.9,6.08,0.821862196298607,-1.2440716241632246,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 14:45:00,9.86,6.06,0.8117244917055206,-1.2624834856324754,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 14:50:00,9.88,6.07,0.8167933440020647,-1.2509539164492822,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 14:55:00,9.86,6.05,0.8266556394089761,-1.2300318411152493,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 15:00:00,9.86,6.05,0.8266556394089761,-1.2285731575876224,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 15:05:00,9.85,6.05,0.8166556394089763,-1.246876870368536,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 15:10:00,9.89,6.06,0.8417244917055218,-1.195944412748451,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 15:15:00,9.89,6.06,0.8417244917055218,-1.1945451051386784,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 15:20:00,9.91,6.06,0.8617244917055213,-1.1536492168117458,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 15:25:00,9.92,6.06,0.8717244917055211,-1.1325928204997149,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 15:30:00,10.0,6.11,0.8770687531882384,-1.12072990716056,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 15:35:00,9.98,6.09,0.8869310485951516,-1.099922682535431,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 15:40:00,9.97,6.08,0.8918621962986073,-1.0888699646305942,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
