time,VALE3,BRAP4,spread,zScore,short,long,long_entry,long_exit,positions_long,short_entry,short_exit,positions_short,positions,hegde
2023-02-15 13:10:00,85.94,28.85,-0.23554719402707747,1.7716591786479026,1.6816114940380953,-1.663444882926739,False,True,0.0,True,False,-1.0,-1.0,2.9870206999662763
2023-02-15 13:15:00,85.88,28.85,-0.29554719402707974,1.6876025986113836,1.6816114940380953,-1.663444882926739,False,True,0.0,True,False,-1.0,-1.0,2.9870206999662763
2023-02-15 13:20:00,85.96,28.84,-0.18567698702742064,1.821538788339293,1.6816114940380953,-1.663444882926739,False,True,0.0,True,False,-1.0,-1.0,2.9870206999662763
2023-02-15 13:25:00,86.05,28.85,-0.12554719402707804,1.8908501952948056,1.6816114940380953,-1.663444882926739,False,True,0.0,True,False,-1.0,-1.0,2.9870206999662763
2023-02-15 13:30:00,86.01,28.82,-0.07593657302807344,1.946141402433635,1.6816114940380953,-1.663444882926739,False,True,0.0,True,False,-1.0,-1.0,2.9870206999662763
2023-02-15 13:35:00,86.09,28.83,-0.025806780027735954,2.001607523360583,1.6816114940380953,-1.663444882926739,False,True,0.0,True,False,-1.0,-1.0,2.9870206999662763
2023-02-15 13:40:00,86.06,28.84,-0.08567698702741211,1.91688307949202,1.6816114940380953,-1.663444882926739,False,True,0.0,True,False,-1.0,-1.0,2.9870206999662763
2023-02-15 13:45:00,86.09,28.85,-0.08554719402707178,1.9081365135643815,1.6816114940380953,-1.663444882926739,False,True,0.0,True,False,-1.0,-1.0,2.9870206999662763
2023-02-15 13:50:00,86.18,28.84,0.03432301297259244,2.0513919690867253,1.6816114940380953,-1.663444882926739,False,True,0.0,True,False,-1.0,-1.0,2.9870206999662763
2023-02-15 13:55:00,86.18,28.85,0.004452805972931628,2.003313830222237,1.6816114940380953,-1.663444882926739,False,True,0.0,True,False,-1.0,-1.0,2.9870206999662763
2023-02-15 14:00:00,86.26,28.92,-0.12463864302470995,1.8301265978847197,1.6816114940380953,-1.663444882926739,False,True,0.0,True,False,-1.0,-1.0,2.9870206999662763
2023-02-15 14:05:00,86.34,28.93,-0.07450885002437246,1.885034855772375,1.6816114940380953,-1.663444882926739,False,True,0.0,True,False,-1.0,-1.0,2.9870206999662763
2023-02-15 14:10:00,86.57,28.98,0.006140114977299049,1.9778674509073075,1.6816114940380953,-1.663444882926739,False,True,0.0,True,False,-1.0,-1.0,2.9870206999662763
